RouteName,Direction,Sequence,StopName
01线,上行,1,蓝村路南泉路
01线,上行,2,浦东南路宁阳路
01线,上行,3,浦东南路浦电路
01线,上行,4,浦东南路潍坊路
01线,上行,5,世纪大道浦东南路
01线,上行,6,延安东路浙江中路
01线,上行,7,延安中路石门一路
01线,上行,8,延安中路陕西北路
01线,上行,9,延安西路华山路
01线,上行,10,延安西路镇宁路
01线,上行,11,江苏路延安西路
01线,上行,12,江苏路愚园路
01线,上行,13,曹杨路谈家渡路
01线,上行,14,武宁新村
01线,上行,15,曹杨路南石路
01线,上行,16,曹杨路铜川路
01线,上行,17,曹杨路陆家巷
01线,上行,18,上海西站
01线,下行,1,蓝村路南泉路
01线,下行,2,浦建路东方路
01线,下行,3,浦东南路宁阳路
01线,下行,4,浦东南路浦电路
01线,下行,5,浦东南路商城路
01线,下行,6,世纪大道浦东南路
01线,下行,7,延安东路浙江中路
01线,下行,8,延安中路石门一路
01线,下行,9,延安中路陕西北路
01线,下行,10,延安西路华山路
01线,下行,11,延安西路镇宁路
01线,下行,12,江苏路延安西路
01线,下行,13,江苏路愚园路
01线,下行,14,曹杨路谈家渡路
01线,下行,15,曹杨路白玉路
01线,下行,16,曹杨路南石路
01线,下行,17,曹杨路铜川路
01线,下行,18,曹杨路陆家巷
01线,下行,19,上海西站
04线,下行,1,汶水路共和新路
04线,下行,2,汶水路万荣路
04线,下行,3,江场西路万荣路
04线,下行,4,江场西路共和新路
04线,下行,5,共和新路闻喜路
04线,下行,6,闻喜路平顺路
04线,下行,7,闻喜路岭南路
04线,下行,8,临汾路安业路
04线,下行,9,阳曲路临汾路
04线,下行,10,阳曲路保德路
04线,下行,11,景凤路阳曲路
04线,下行,12,景凤路阳泉路
04线,下行,13,共康东路阳泉路
04线,下行,14,共康东路阳曲路
04线,下行,15,岭南路共康东路
04线,下行,16,岭南路景凤路
04线,下行,17,汾西路岭南路
04线,下行,18,汾西路共和新路
04线,下行,19,共和新路汾西路
04线,下行,20,共和新路闻喜路
04线,下行,21,共和新路江场路
04线,下行,22,汶水路共和新路
1001路,下行,1,周星路横桥路
1001路,下行,2,横桥路周康路
1001路,下行,3,周康路横桥路
1001路,下行,4,年家浜路康沈路（南侧）
1001路,下行,5,年家浜路康沈路
1001路,下行,6,年家浜路周市路
1001路,下行,7,年家浜路周东路
1001路,下行,8,周东路年家浜路
1001路,下行,9,周东路关岳路
1001路,下行,10,周东路川周公路
1001路,下行,11,川周公路文康路
1001路,下行,12,川周公路康沈路
1001路,下行,13,周浦
1001路,下行,14,年家浜路康沈路(北侧)
1001路,下行,15,周康路年家浜路
1001路,下行,16,周康路横桥路
1001路,下行,17,横桥路周康路
1001路,下行,18,周星路横桥路
1002路,上行,1,周浦东站
1002路,上行,2,周邓公路罗山南路
1002路,上行,3,周邓公路周园路
1002路,上行,4,年家浜路周东路
1002路,上行,5,周东路祝家港路
1002路,上行,6,祝家港路周东路
1002路,上行,7,祝家港路周市路
1002路,上行,8,康沈路横桥路
1002路,上行,9,康沈路年家浜路
1002路,上行,10,年家浜路康沈路
1002路,上行,11,周康路年家浜路
1002路,下行,1,周浦东站
1002路,下行,2,周邓公路罗山南路
1002路,下行,3,周邓公路周园路
1002路,下行,4,周东路年家浜路
1002路,下行,5,周东路祝家港路
1002路,下行,6,祝家港路周东路
1002路,下行,7,祝家港路周市路
1002路,下行,8,康沈路横桥路
1002路,下行,9,韵浦路康沈路
1002路,下行,10,韵浦路周康路
1002路,下行,11,周康路年家浜路
1003路,上行,1,永泰路东明路
1003路,上行,2,东明路永泰路
1003路,上行,3,三林路东明路
1003路,上行,4,环林东路三林路
1003路,上行,5,尚博路环林东路
1003路,上行,6,尚博路东明路
1003路,上行,7,华夏西路东明路
1003路,下行,1,永泰路东明路
1003路,下行,2,东明路永泰路
1003路,下行,3,三林路东明路
1003路,下行,4,三林路环林东路
1003路,下行,5,环林东路三林路
1003路,下行,6,尚博路环林东路
1003路,下行,7,尚博路东明路
1003路,下行,8,尚博路
1003路,下行,9,尚博路云台路
1003路,下行,10,华夏西路东明路
1004路,下行,1,凌白公路辉煌路
1004路,下行,2,庆荣路东川公路
1005路,上行,1,中横港路东立新村桥
1005路,上行,2,江镇路中横港路
1005路,上行,3,江镇路东亭路
1005路,上行,4,东亭路晨阳路
1005路,上行,5,东亭路晚霞路
1005路,上行,6,东亭路朝晖路
1005路,上行,7,朝晖路江明路
1005路,上行,8,朝晖路川南奉公路
1005路,上行,9,川南奉公路晨阳路
1005路,上行,10,晨阳路建宜路
1005路,上行,11,晨阳西路江绣路
1005路,下行,1,中横港路东立新村桥
1005路,下行,2,江镇路中横港路
1005路,下行,3,江镇路东亭路
1005路,下行,4,东亭路晨阳路
1005路,下行,5,东亭路晚霞路
1005路,下行,6,东亭路朝晖路
1005路,下行,7,朝晖路江明路
1005路,下行,8,朝晖路川南奉公路
1005路,下行,9,晨阳路川南奉公路
1005路,下行,10,晨阳路建宜路
1005路,下行,11,江晖路晨阳路
1005路,下行,12,江晖路海霞路
1005路,下行,13,江绣路晨阳西路
1005路,下行,14,晨阳西路江绣路
1006路,下行,1,源华路双桥路
1006路,下行,2,金高路源华路
1006路,下行,3,巨峰路金高路
1006路,下行,4,巨峰路金京路
1006路,下行,5,巨峰路
1006路,下行,6,申江路巨峰路
1006路,下行,7,申江路轲桥路
1006路,下行,8,高设路东靖路
1006路,下行,9,高宝路高建路
1006路,下行,10,高宝路金京路
1006路,下行,11,金京路源华路
1006路,下行,12,巨峰路金京路
1006路,下行,13,巨峰路金高路
1006路,下行,14,金高路源华路
1006路,下行,15,双桥路金高路
1006路,下行,16,源华路双桥路
1007路,下行,1,长清路杨新路
1007路,下行,2,板泉路长清路
1007路,下行,3,灵岩南路杨思路
1007路,下行,4,杨思路灵岩南路
1007路,下行,5,杨思路西营南路
1007路,下行,6,西营南路杨新路
1007路,下行,7,杨新路西营南路
1007路,下行,8,长清路杨新路
1008路,下行,1,高科西路杨高南路
1008路,下行,2,严桥路华绣路
1008路,下行,3,下南路华绣路
1008路,下行,4,下南路北艾路
1008路,下行,5,下南路成山路
1008路,下行,6,锦尊路成山路
1008路,下行,7,锦尊路北艾路
1008路,下行,8,华绣路锦尊路
1008路,下行,9,华绣路
1008路,下行,10,华绣路杨高南路
1008路,下行,11,高科西路杨高南路
1009路,上行,1,滴水湖枢纽站
1009路,上行,2,临港大道环湖西三路
1009路,上行,3,环湖西三路杞青路
1009路,上行,4,竹柏路紫荆花路
1009路,上行,5,茉莉路申港大道
1009路,上行,6,茉莉路方竹路
1009路,上行,7,方竹路沪城环路
1009路,上行,8,方竹路卓卉路
1009路,上行,9,方竹路农场中心河桥
1009路,上行,10,水华路方竹路
1009路,上行,11,水华路橄榄路
1009路,下行,1,滴水湖枢纽站
1009路,下行,2,环湖西三路临港大道
1009路,下行,3,环湖西三路花柏路
1009路,下行,4,竹柏路紫荆花路
1009路,下行,5,茉莉路竹柏路
1009路,下行,6,方竹路茉莉路
1009路,下行,7,方竹路沪城环路
1009路,下行,8,方竹路卓卉路
1009路,下行,9,方竹路农场中心河桥
1009路,下行,10,方竹路叶耀路
1009路,下行,11,水华路方竹路
1009路,下行,12,水华路橄榄路
100路,上行,1,吉浦路仁德路
100路,上行,2,武川路武东路
100路,上行,3,政立路国权北路
100路,上行,4,政立路逸仙路
100路,上行,5,逸仙路场中路
100路,上行,6,江湾镇
100路,上行,7,逸仙路纪念路
100路,上行,8,曲阳路中山北二路
100路,上行,9,赤峰路曲阳路
100路,上行,10,玉田路曲阳路
100路,上行,11,大连西路曲阳路
100路,上行,12,欧阳路大连西路
100路,上行,13,欧阳路祥德路
100路,上行,14,欧阳路四达路
100路,上行,15,欧阳路吉祥路
100路,上行,16,四平路溧阳路
100路,上行,17,吴淞路海宁路
100路,上行,18,乍浦路塘沽路
100路,下行,1,吉浦路仁德路
100路,下行,2,武川路武东路
100路,下行,3,武川路政立路
100路,下行,4,政立路国权北路
100路,下行,5,政立路逸仙路
100路,下行,6,逸仙路场中路
100路,下行,7,江湾镇
100路,下行,8,逸仙路纪念路
100路,下行,9,大柏树
100路,下行,10,曲阳路玉田路
100路,下行,11,大连西路曲阳路
100路,下行,12,欧阳路大连西路
100路,下行,13,欧阳路祥德路
100路,下行,14,欧阳路四达路
100路,下行,15,欧阳路吉祥路
100路,下行,16,四平路溧阳路
100路,下行,17,吴淞路海宁路
100路,下行,18,塘沽路吴淞路
100路,下行,19,乍浦路塘沽路
1010路,上行,1,巨峰路地铁站
1010路,上行,2,双桥路利津路
1010路,上行,3,利津路巨峰路
1010路,上行,4,凌河路利津路
1010路,上行,5,归昌路五莲路
1010路,上行,6,博兴路归昌路
1010路,上行,7,博兴路凌河路
1010路,上行,8,博兴路东陆路
1010路,上行,9,牟平路博兴路
1010路,上行,10,长岛路东陆路
1010路,下行,1,巨峰路地铁站
1010路,下行,2,双桥路利津路
1010路,下行,3,利津路巨峰路
1010路,下行,4,凌河路利津路
1010路,下行,5,归昌路五莲路
1010路,下行,6,博兴路归昌路
1010路,下行,7,博兴路凌河路
1010路,下行,8,东陆路长岛路
1010路,下行,9,长岛路东陆路
1012路,下行,1,海阳路长清路
1012路,下行,2,灵岩南路海阳路
1012路,下行,3,灵岩南路杨思路
1012路,下行,4,上南路杨思路
1012路,下行,5,杨新东路上南路
1012路,下行,6,杨新东路洪山路
1012路,下行,7,云台路杨思路
1012路,下行,8,杨思路云台路
1012路,下行,9,杨思路上南路
1012路,下行,10,杨思路灵岩南路
1012路,下行,11,灵岩南路杨思路
1012路,下行,12,灵岩南路海阳路
1012路,下行,13,海阳路长清路
1013路,下行,1,梅花路海桐路
1013路,下行,2,海桐路樱花路
1013路,下行,3,海桐路杜鹃路
1013路,下行,4,杜鹃路玉兰路
1013路,下行,5,浦建路杜鹃路
1013路,下行,6,牡丹路玉兰路
1013路,下行,7,牡丹路海桐路
1013路,下行,8,梅花路白杨路
1013路,下行,9,梅花路银宵路
1013路,下行,10,梅花路石楠路
1013路,下行,11,芳甸路梅花路
1013路,下行,12,樱花路银宵路
1013路,下行,13,银宵路梅花路
1013路,下行,14,梅花路海桐路
1014路,下行,1,张东路张衡路
1014路,下行,2,益江路张东路
1014路,下行,3,益江路盛夏路
1014路,下行,4,盛夏路益江路
1014路,下行,5,申江路高科中路
1014路,下行,6,申江路紫薇路
1014路,下行,7,祖冲之路广兰路
1014路,下行,8,广兰路紫薇路
1014路,下行,9,紫薇路申江路
1014路,下行,10,申江路高科中路
1014路,下行,11,盛夏路益江路
1014路,下行,12,张东路张衡路
1015路,上行,1,莱阳路行南路
1015路,上行,2,行南路南新路
1015路,上行,3,行南路张杨北路
1015路,上行,4,秋岚路张杨北路
1015路,上行,5,兰嵩路白萱路
1015路,上行,6,航津路地铁站
1015路,上行,7,秋霞路杨高北路
1015路,上行,8,季景路夏碧路
1015路,上行,9,夏碧路张杨北路
1015路,上行,10,莱阳路夏碧路
1015路,下行,1,莱阳路行南路
1015路,下行,2,行南路南新路
1015路,下行,3,行南路张杨北路
1015路,下行,4,秋岚路张杨北路
1015路,下行,5,兰嵩路白萱路
1015路,下行,6,航津路地铁站
1015路,下行,7,秋霞路杨高北路
1015路,下行,8,季景路夏碧路
1015路,下行,9,夏碧路张杨北路
1015路,下行,10,莱阳路夏碧路
1016路,下行,1,高宝路东靖路
1016路,下行,2,高设路东靖路
1016路,下行,3,新行路万安街
1016路,下行,4,俱进路新行路
1016路,下行,5,金高路俱进路
1016路,下行,6,金高路万安街
1016路,下行,7,东靖路金高路
1016路,下行,8,金京路东靖路
1016路,下行,9,万安街金京路
1016路,下行,10,东靖路高设路
1016路,下行,11,高设路东靖路
1016路,下行,12,高宝路高设路
1016路,下行,13,高宝路东靖路
1016路,下行,14,东力新村
1017路,上行,1,张杨北路洲海路
1017路,上行,2,张杨北路洲海路
1017路,下行,1,莱阳路衡安路
1017路,下行,2,行南路莱阳路
1017路,下行,3,莱阳路衡安路
1017路,下行,4,繁锦路洲海路
1017路,下行,5,张杨北路洲海路
1017路,下行,6,张杨北路洲海路
1018路,上行,1,云台路杨南路
1018路,上行,2,东明路联明路
1018路,上行,3,华夏西路云台路
1018路,上行,4,华夏西路上南路
1018路,上行,5,上南路三林路
1018路,上行,6,上南路永泰路
1018路,上行,7,永泰路上南路
1018路,上行,8,永泰路三新路
1018路,上行,9,永泰路灵岩南路
1018路,上行,10,灵岩南路永泰路
1018路,下行,1,云台路杨南路
1018路,下行,2,华夏西路云台路
1018路,下行,3,上南路三林路
1018路,下行,4,三林路上南路
1018路,下行,5,三林路三新路
1018路,下行,6,灵岩南路永泰路
1019路,下行,1,塘桥新路枢纽站
1019路,下行,2,塘桥新路枢纽站
1019路,下行,3,浦明路塘桥新路
1019路,下行,4,浦城路潍坊西路
1019路,下行,5,浦城路浦电路
1019路,下行,6,浦电路浦东南路
1019路,下行,7,浦电路崂山路
1019路,下行,8,浦电路东方路
1019路,下行,9,浦电路福山路
1019路,下行,10,潍坊路松林路
1019路,下行,11,潍坊路东方路
1019路,下行,12,潍坊路崂山路
1019路,下行,13,潍坊路浦东南路
1019路,下行,14,潍坊西路浦城路
1019路,下行,15,浦明路塘桥新路
1019路,下行,16,塘桥新路枢纽站
1019路,下行,17,塘桥新路枢纽站
1020路,上行,1,康达路关岳路
1020路,上行,2,康弘路康汇路
1020路,上行,3,康弘路康丽路
1020路,上行,4,康弘路康佳路
1020路,上行,5,康佳路康达路
1020路,上行,6,川周公路罗山南路
1020路,上行,7,秀沿路地铁站
1020路,上行,8,秀沿路环桥路
1020路,上行,9,秀沿路箭桥路
1020路,上行,10,秀沿路慈桥路
1020路,上行,11,拯安路慈桥路
1020路,下行,1,康达路关岳路
1020路,下行,2,康丽路康达路
1020路,下行,3,康弘路康佳路
1020路,下行,4,康达路康佳路
1020路,下行,5,川周公路罗山南路
1020路,下行,6,秀沿路地铁站
1020路,下行,7,秀沿路环桥路
1020路,下行,8,秀沿路箭桥路
1020路,下行,9,康新公路秀沿路
1020路,下行,10,拯安路慈桥路
1021路,上行,1,东方路蓝村路
1021路,下行,1,东方路蓝村路
1021路,下行,2,蓝村路东方路
1021路,下行,3,浦建路杨高南路
1021路,下行,4,东绣路锦安西路
1021路,下行,5,东绣路锦和路
1021路,下行,6,东绣路东建路
1021路,下行,7,东建路东绣路
1021路,下行,8,龙阳路杨高南路
1021路,下行,9,浦建路杨高南路
1021路,下行,10,东方路蓝村路
1022路,下行,1,沛林路涵林路
1022路,下行,2,三林西路钟晓璐
1022路,下行,3,东育路三林路
1022路,下行,4,东育路凌兆西路（北向）
1022路,下行,5,上浦西路济阳路
1022路,下行,6,济阳路凌兆路（南向）
1022路,下行,7,云绵路浦星公路
1022路,下行,8,云绵路晚亭路
1022路,下行,9,涵林路云绵路
1022路,下行,10,济阳路凌兆路（北向）
1022路,下行,11,东育路上浦西路
1022路,下行,12,东育路凌兆西路（南向）
1022路,下行,13,三林西路晨眺路
1022路,下行,14,沛林路涵林路
1023路,下行,1,龙阳路地铁站
1023路,下行,2,龙阳路地铁站
1023路,下行,3,白杨路龙汇路
1023路,下行,4,白杨路芳草路
1023路,下行,5,芳草路培花路
1023路,下行,6,芳草路连波路
1023路,下行,7,沪南路芳华路
1023路,下行,8,前程路沪南路
1023路,下行,9,前程路锦绣路
1023路,下行,10,东建路锦安东路
1023路,下行,11,东建路锦和路
1023路,下行,12,樱花路浦建路
1023路,下行,13,樱花路玉兰路
1023路,下行,14,樱花路海桐路
1023路,下行,15,白杨路樱花路
1023路,下行,16,龙阳路地铁站
1023路,下行,17,龙阳路地铁站
1024路,下行,1,杨高中路民生路
1024路,下行,2,芳甸路杨高中路
1024路,下行,3,迎春路芳甸路
1024路,下行,4,迎春路紫槐路
1024路,下行,5,丁香路紫槐路
1024路,下行,6,丁香路芳甸路
1024路,下行,7,芳甸路杨高中路
1024路,下行,8,南洋泾路灵山路
1024路,下行,9,羽山路（泾南公园）
1024路,下行,10,张杨路苗圃路
1024路,下行,11,崮山路张杨路
1024路,下行,12,崮山路博山路
1024路,下行,13,崮山路栖山路
1024路,下行,14,栖山路苗圃路
1024路,下行,15,巨野路沈家弄路
1024路,下行,16,巨野路羽山路
1024路,下行,17,民生路灵山路
1024路,下行,18,杨高中路民生路
1025路,上行,1,三林世博家园
1025路,上行,2,陈春路下南路
1025路,上行,3,下南路商汇
1025路,上行,4,绿林路下南路
1025路,上行,5,绿林路锦绣路
1025路,上行,6,绿林路陈春路
1025路,上行,7,陈春路博华路
1025路,上行,8,鹏岳路陈春路
1025路,上行,9,鹏飞路陈春路
1025路,下行,1,三林世博家园
1025路,下行,2,陈春路下南路
1025路,下行,3,下南路商汇
1025路,下行,4,绿林路下南路
1025路,下行,5,绿林路锦绣路
1025路,下行,6,绿林路陈春路
1025路,下行,7,陈春路博华路
1025路,下行,8,鹏飞路陈春路
1026路,下行,1,永泰路东明路
1026路,下行,2,永泰路泰环路
1026路,下行,3,春延路环林西路
1026路,下行,4,聚华路春延路
1026路,下行,5,南林路品柿路
1026路,下行,6,环林东路银环路
1026路,下行,7,环林东路永泰路
1026路,下行,8,尚博路环林东路
1026路,下行,9,尚博路东明路
1026路,下行,10,华夏西路云台路
1026路,下行,11,云台路尚博路
1026路,下行,12,尚博路云台路
1026路,下行,13,三林路环林西路
1026路,下行,14,环林西路三林路
1026路,下行,15,永泰路泰环路
1026路,下行,16,永泰路东明路
1027路,下行,1,威斯路杨高北一路
1027路,下行,2,港电路威斯路
1027路,下行,3,花山路杨高北路
1027路,下行,4,大同路花山路
1027路,下行,5,大同路清溪路
1027路,下行,6,大同路石家街（市七医院）
1027路,下行,7,大同路和龙路
1027路,下行,8,和龙路清溪路
1027路,下行,9,清溪路张杨北路
1027路,下行,10,同港路大同路
1027路,下行,11,花山路大同路
1027路,下行,12,花山路杨高北路
1027路,下行,13,威斯路杨高北一路
1028路,上行,1,华夏东路华东路
1028路,上行,2,华夏东路妙境路
1028路,上行,3,华夏东路川沙路
1028路,上行,4,川沙路华夏东路
1028路,上行,5,置业路川沙路
1028路,上行,6,利航路置业路
1028路,上行,7,利航路建业路
1028路,上行,8,利航路创业路
1028路,下行,1,华夏东路华东路
1028路,下行,2,华夏东路妙境路
1028路,下行,3,川沙路华夏东路
1028路,下行,4,川沙路王桥路
1028路,下行,5,王桥路利枝路
1028路,下行,6,运通路王桥路
1028路,下行,7,创业路运通路
1028路,下行,8,创业路利枝路
1028路,下行,9,创业路川沙路
1028路,下行,10,利航路创业路
1029路,下行,1,龙三路龙东大道
1029路,下行,2,龙东大道金科路
1029路,下行,3,科苑路龙东大道
1029路,下行,4,张江地铁站
1029路,下行,5,祖冲之路牛顿路
1029路,下行,6,祖冲之路金科路
1029路,下行,7,祖冲之路张江路
1029路,下行,8,广兰路袓冲之路
1029路,下行,9,丹桂路香楠路
1029路,下行,10,张江路郭守敬路
1029路,下行,11,龙东大道张江路
1029路,下行,12,龙三路龙东大道
102路,上行,1,嫩江码头
102路,上行,2,森林公园
102路,上行,3,军工路民星路
102路,上行,4,翔殷路军工路
102路,上行,5,翔殷路沙岗路
102路,上行,6,安波路营口路
102路,下行,1,嫩江码头
102路,下行,2,森林公园
102路,下行,3,军工路民星路
102路,下行,4,翔殷路军工路
102路,下行,5,包头南路翔殷路
102路,下行,6,安波路沙岗路
102路,下行,7,安波路营口路
1030路,下行,1,凌空路公交枢纽站
1030路,下行,2,汇庆路华川路
1030路,下行,3,汇庆路新川路
1030路,下行,4,华夏东路川南奉公路
1030路,下行,5,川杨河路东川公路
1030路,下行,6,川杨河路
1030路,下行,7,川杨河路建光西路
1030路,下行,8,川杨河路建光路
1030路,下行,9,川杨河路凌行路
1030路,下行,10,川杨河路海塘东路
1030路,下行,11,川杨河路人民塘路
1030路,下行,12,人民塘路华夏东路
1030路,下行,13,华夏东路海塘东路
1030路,下行,14,华夏东路海塘中路
1030路,下行,15,华夏东路海塘西路
1030路,下行,16,华夏东路建光西路
1030路,下行,17,华夏东路东川公路
1030路,下行,18,汇庆路华夏东路
1030路,下行,19,新川路汇庆路
1030路,下行,20,凌空路公交枢纽站
1031路,上行,1,园二路新园路
1031路,上行,2,新园路洲海路
1031路,上行,3,洲海路兰嵩路
1031路,上行,4,繁锦路洲海路
1031路,上行,5,启帆路张杨北路
1031路,下行,1,园二路新园路
1031路,下行,2,新园路洲海路
1031路,下行,3,洲海路兰嵩路
1031路,下行,4,启帆路张杨北路
1032路,上行,1,庆利路环庆南路
1032路,上行,2,高科东路塘西中心路
1032路,上行,3,高科东路凌空北路
1032路,上行,4,凌空北路勤益路
1032路,上行,5,凌空路新川路
1032路,上行,6,新川路汇庆路
1032路,上行,7,汇庆路新川路
1032路,上行,8,汇庆路华川路
1032路,上行,9,凌空路公交枢纽站
1032路,下行,1,庆利路环庆南路
1032路,下行,2,高科东路东川公路
1032路,下行,3,高科东路塘西中心路
1032路,下行,4,凌空北路高科东路
1032路,下行,5,凌空北路勤益路
1032路,下行,6,新川路凌空路
1032路,下行,7,凌空路公交枢纽站
1033路,下行,1,长岛路船舶新村
1033路,下行,2,长岛路船舶新村
1033路,下行,3,长岛路博兴路
1033路,下行,4,莱阳路博兴路
1033路,下行,5,莱阳路五莲路
1033路,下行,6,利津路莱阳路
1033路,下行,7,利津路浦东北路
1033路,下行,8,浦东北路东陆路
1033路,下行,9,东陆路地铁站
1033路,下行,10,东陆路莱阳路
1033路,下行,11,张杨北路五莲路
1033路,下行,12,五莲路兰城路
1033路,下行,13,莱阳路五莲路
1033路,下行,14,莱阳路博兴路
1033路,下行,15,博兴路长岛路
1033路,下行,16,兰城路博兴路
1033路,下行,17,长岛路船舶新村
1033路,下行,18,长岛路船舶新村
1034路,上行,1,懿行路和炯路
1034路,上行,2,懿行路三鲁路
1034路,上行,3,三舒路和融路
1034路,上行,4,和融路三彩路
1034路,上行,5,芦恒路枢纽站
1034路,下行,1,懿行路和炯路
1034路,下行,2,和炯路林展路
1034路,下行,3,林展路懿行路
1034路,下行,4,懿行路三鲁路
1034路,下行,5,三舒路和融路
1034路,下行,6,和融路三彩路
1034路,下行,7,芦恒路枢纽站
1035路,上行,1,纬二路建中路
1035路,上行,2,老港小学
1035路,上行,3,老港镇政府
1035路,上行,4,港西
1035路,上行,5,建西路沪南公路
1035路,上行,6,建港村18组
1035路,上行,7,中心河桥
1035路,上行,8,欣河路欣铁路
1035路,上行,9,欣河村委
1035路,上行,10,欣河村15组
1035路,上行,11,欣河村老人活动室
1035路,下行,1,纬二路建中路
1035路,下行,2,老港小学
1035路,下行,3,老港镇政府
1035路,下行,4,港西
1035路,下行,5,建西路沪南公路
1035路,下行,6,建港村18组
1035路,下行,7,中心河桥
1035路,下行,8,欣河路欣铁路
1035路,下行,9,欣河村委
1035路,下行,10,欣河村15组
1035路,下行,11,欣河村老人活动室
1036路,上行,1,崇溪路新会路
1036路,上行,2,崇溪路吉灿路
1036路,上行,3,周祝公路南六公路
1036路,上行,4,周祝公路六小东路
1036路,上行,5,鹿川路周祝公路
1036路,上行,6,鹿川支路七星村委会
1036路,下行,1,崇溪路新会路
1036路,下行,2,崇溪路吉灿路
1036路,下行,3,南六公路鹿达路
1036路,下行,4,周祝公路南六公路
1036路,下行,5,周祝公路六小东路
1036路,下行,6,鹿川路周祝公路
1036路,下行,7,鹿川支路七星村委会
1037路,上行,1,祥凯路万隆村委会
1037路,上行,2,严木桥路祥凯路
1037路,上行,3,祥跃路严木桥路
1037路,上行,4,祥跃路百宏路
1037路,上行,5,祥跃路祥安路
1037路,上行,6,祥福路祥跃路
1037路,上行,7,万和路振万路
1037路,上行,8,万祥路振万路
1037路,上行,9,三三公路万牧路
1037路,上行,10,三三公路万红桥
1037路,上行,11,临港大道新泥路
1037路,上行,12,书院地铁站
1037路,下行,1,祥凯路万隆村委会
1037路,下行,2,严木桥路祥凯路
1037路,下行,3,祥跃路严木桥路
1037路,下行,4,祥跃路百宏路
1037路,下行,5,祥跃路祥安路
1037路,下行,6,祥福路祥跃路
1037路,下行,7,万和路振万路
1037路,下行,8,万祥路振万路
1037路,下行,9,三三公路万牧路
1037路,下行,10,三三公路万红桥
1037路,下行,11,临港大道新泥路
1037路,下行,12,书院地铁站
1038路,上行,1,拱乐路和开路
1038路,上行,2,拱乐路靖海路
1038路,上行,3,靖海路塘红路
1038路,上行,4,靖海路拱为路
1038路,上行,5,靖海路拱北路
1038路,上行,6,拱极路南祝路
1038路,上行,7,南祝路人民东路
1038路,上行,8,南祝路东门大街
1038路,上行,9,南祝路惠东路
1038路,上行,10,靖海南路沪南公路
1038路,上行,11,靖海南路康锦路
1038路,上行,12,靖海南路迎薰路
1038路,上行,13,惠园路南团公路
1038路,上行,14,丹海路南团公路
1038路,下行,1,拱乐路和开路
1038路,下行,2,拱乐路靖海路
1038路,下行,3,靖海路塘红路
1038路,下行,4,靖海路拱为路
1038路,下行,5,靖海路拱北路
1038路,下行,6,拱极路南祝路
1038路,下行,7,南祝路拱极路
1038路,下行,8,南祝路人民东路
1038路,下行,9,南祝路东门大街
1038路,下行,10,南祝路惠东路
1038路,下行,11,靖海南路沪南公路
1038路,下行,12,靖海南路康锦路
1038路,下行,13,靖海南路迎薰路
1038路,下行,14,惠园路南团公路
1038路,下行,15,丹海路南团公路
1039路,上行,1,金粤路锦绣东路
1039路,上行,2,锦绣东路张东路
1039路,上行,3,锦绣东路紫雅路
1039路,上行,4,金丰北路洁雅路
1039路,上行,5,上丰路金丰路
1039路,上行,6,上丰路顾唐路
1039路,上行,7,上丰路卡园路
1039路,上行,8,上丰路华东路
1039路,上行,9,上丰路宏雅路
1039路,上行,10,上丰路王港路
1039路,上行,11,虹盛路上丰路
1039路,上行,12,虹盛路虹昌路
1039路,上行,13,新雅路丽雅路
1039路,下行,1,金粤路锦绣东路
1039路,下行,2,锦绣东路张东路
1039路,下行,3,锦绣东路紫雅路
1039路,下行,4,金丰北路洁雅路
1039路,下行,5,上丰路金丰路
1039路,下行,6,上丰路顾唐路
1039路,下行,7,上丰路卡园路
1039路,下行,8,上丰路华东路
1039路,下行,9,上丰路宏雅路
1039路,下行,10,上丰路王港路
1039路,下行,11,虹盛路上丰路
1039路,下行,12,虹盛路虹昌路
1039路,下行,13,新雅路丽雅路
103路,上行,1,黎平路杨树浦路
103路,上行,2,内江路杨树浦路
103路,上行,3,内江路平凉路
103路,上行,4,长阳路爱国路
103路,上行,5,军工路周家嘴路
103路,上行,6,军工路控江路
103路,上行,7,松花江路延吉东路
103路,上行,8,延吉东路松花江路
103路,上行,9,延吉东路安图路
103路,上行,10,延吉东路水丰路
103路,上行,11,延吉东路隆昌路
103路,上行,12,延吉中路双阳路
103路,上行,13,延吉西路黄兴路
103路,上行,14,延吉西路江浦路
103路,上行,15,新华医院
103路,上行,16,控江路鞍山路
103路,上行,17,控江路打虎山路
103路,上行,18,新港路大连路
103路,上行,19,新港路四平路
103路,上行,20,四平路新港路
103路,上行,21,四平路临平北路
103路,上行,22,溧阳路四平路
103路,上行,23,四川北路山阴路
103路,上行,24,天通庵路同心路
103路,下行,1,黎平路杨树浦路
103路,下行,2,内江路杨树浦路
103路,下行,3,内江路平凉路
103路,下行,4,长阳路爱国路
103路,下行,5,军工路周家嘴路
103路,下行,6,军工路控江路
103路,下行,7,松花江路延吉东路
103路,下行,8,安图路延吉东路
103路,下行,9,延吉东路水丰路
103路,下行,10,延吉东路隆昌路
103路,下行,11,延吉中路双阳路
103路,下行,12,延吉中路黄兴路
103路,下行,13,延吉西路黄兴路
103路,下行,14,延吉西路江浦路
103路,下行,15,新华医院
103路,下行,16,控江路鞍山路
103路,下行,17,控江路本溪路
103路,下行,18,打虎山路控江路
103路,下行,19,辽源西路大连路
103路,下行,20,新港路和平公园
